dataset,test_fold,n_conv_layers,n_filters,kernel_size,n_dense_layers,n_neurons,n_cv,total_training_time_sec,total_best_val_loss_cv,mean_best_val_loss_cv
cancer,1,2,8,2,1,20,10,3410.2397339344025,16.003621145447926,1.6003621145447926
systematic,3,2,2,4,1,50,10,15595.696079015732,2.5484208230495824,0.2548420823049582
cancer,1,8,2,2,2,20,10,5364.351773738861,17.29710056571328,1.729710056571328
cancer,2,4,4,4,1,50,10,4075.1464936733246,13.1290312789284,1.31290312789284
cancer,1,2,2,4,1,10,10,2400.1390295028687,16.49625430735253,1.649625430735253
detailed,3,4,2,4,1,20,10,22979.0563147068,3.7970338939015615,0.3797033893901561
systematic,3,8,8,2,1,50,10,57237.1302280426,1.6853450200409794,0.1685345020040979
cancer,1,2,4,2,1,20,10,3018.033886194229,15.414510995868865,1.5414510995868864
systematic,1,4,2,4,2,50,10,30175.520852565765,1.7988804902992253,0.1798880490299225
cancer,1,4,2,2,2,20,10,3434.3618750572205,17.228564886187154,1.7228564886187154
systematic,3,4,2,4,1,20,10,22657.98222565651,2.8988745796256863,0.2898874579625686
systematic,4,8,8,8,1,20,10,40171.45414876938,1.6758748903849223,0.1675874890384922
detailed,1,8,4,2,2,20,10,48969.101085186005,2.7798791803788654,0.2779879180378865
systematic,3,2,4,4,2,10,10,15866.78575205803,2.4990604573836284,0.2499060457383628
detailed,2,4,2,4,2,10,10,27202.80397629738,2.919298406938164,0.2919298406938164
detailed,4,2,4,4,1,10,10,17898.668209075928,3.397136746250178,0.3397136746250178
systematic,5,4,2,8,2,10,10,17372.148260593414,1.7872232910277006,0.17872232910277
systematic,6,2,8,2,2,10,10,19793.64929747581,1.770202834443121,0.1770202834443121
systematic,5,8,8,2,1,10,10,32517.932958602905,2.416811001941637,0.2416811001941637
systematic,2,8,8,8,1,20,10,40886.69065070152,1.7450260363869767,0.1745026036386976
systematic,4,8,8,2,1,50,10,48929.97806978226,1.799535436979233,0.1799535436979232
systematic,1,8,4,2,1,10,10,22940.28858923912,1.4843169360746586,0.1484316936074658
systematic,4,8,8,4,1,50,10,43858.89414191246,1.9851295891293883,0.1985129589129388
systematic,2,8,4,4,1,20,10,31719.655877113342,1.7638266396166595,0.1763826639616659
systematic,1,4,8,8,1,50,10,21017.000639915463,2.640494950567243,0.2640494950567243
detailed,6,8,4,2,2,10,10,43813.65589809418,3.097840417498591,0.3097840417498591
systematic,1,4,2,2,1,20,10,20376.335134506226,2.7125727422764667,0.2712572742276466
systematic,3,8,4,2,2,50,10,44178.28188323975,1.9342606703657053,0.1934260670365705
detailed,2,2,2,4,1,10,10,17697.444024562836,2.911314452416386,0.2911314452416386
detailed,1,2,8,2,2,20,10,23671.806265830997,3.4619631054931133,0.3461963105493113
systematic,1,8,4,8,1,10,10,30966.376272201534,1.2285982330260763,0.1228598233026076
systematic,3,4,4,2,1,50,10,24067.855469703674,2.663582624962391,0.2663582624962391
systematic,3,4,8,8,1,50,10,22765.983186483383,3.1547074652150124,0.3154707465215012
systematic,5,4,8,4,1,10,10,21714.641040563583,2.220170839685079,0.2220170839685079
detailed,6,2,4,4,2,50,10,19961.38352823257,4.132084354261063,0.4132084354261063
systematic,2,2,2,4,2,20,10,14914.37087917328,2.1375973988422525,0.2137597398842252
cancer,1,8,2,2,2,10,10,6553.828156232834,16.782751576162774,1.678275157616277
systematic,2,2,2,2,1,50,10,14454.214272975922,1.9589294436965408,0.195892944369654
systematic,4,2,4,2,1,10,10,16082.87353849411,1.5297860591110122,0.1529786059111012
systematic,1,4,2,4,1,50,10,17259.827505111694,2.3757244487220244,0.2375724448722024
detailed,5,4,2,4,1,20,10,26315.642545700077,3.353497877870693,0.3353497877870693
detailed,3,4,2,2,1,50,10,27734.757283449173,3.29944610984095,0.329944610984095
systematic,3,8,8,8,2,50,10,42243.89338517189,2.1432447412794984,0.2143244741279498
detailed,5,4,8,4,2,20,10,27220.047892808914,3.6919199439838586,0.3691919943983858
detailed,2,8,8,2,1,10,10,39298.053713321686,4.134195845510222,0.4134195845510222
systematic,2,8,2,2,1,20,10,46114.0631916523,2.132460671455465,0.2132460671455465
cancer,2,8,2,2,2,20,10,7145.768431901932,13.851019262126432,1.3851019262126432
systematic,1,4,8,2,2,20,10,20818.48685002327,2.014858866539123,0.2014858866539123
systematic,3,2,2,4,2,50,10,17202.859503030777,2.490855925405053,0.2490855925405052
systematic,5,8,2,8,2,20,10,27898.59818291664,0.949235095717928,0.0949235095717927
systematic,3,8,4,4,1,50,10,34649.96421504021,1.840567949199499,0.1840567949199499
cancer,1,2,4,8,2,10,10,2905.3493616580963,16.341736794482944,1.6341736794482944
detailed,5,4,4,4,1,10,10,20969.15246558189,3.412267456791386,0.3412267456791386
detailed,3,2,2,8,2,50,10,15891.369479179382,3.754256998746685,0.3754256998746685
systematic,4,8,2,2,1,10,10,35967.90097093582,1.543718361320126,0.1543718361320126
detailed,5,2,8,4,2,10,10,18216.66718649864,3.514093774513869,0.3514093774513869
systematic,4,8,4,4,1,50,10,32440.38895201683,1.7020317766600987,0.1702031776660098
detailed,6,4,4,2,1,10,10,24318.166521549225,3.266385162709569,0.3266385162709569
detailed,3,2,4,8,1,50,10,14367.9133310318,4.398886839922035,0.4398886839922035
detailed,4,2,4,2,1,20,10,17949.376625061035,3.164672934612884,0.3164672934612884
systematic,1,8,2,8,1,20,10,25252.601153612137,1.8788668524421768,0.1878866852442177
detailed,5,4,2,4,2,50,10,26321.362407922745,3.26637855275069,0.326637855275069
systematic,4,8,4,8,1,50,10,32069.901454925537,1.8418334084146604,0.184183340841466
systematic,4,8,2,4,2,10,10,28292.488419532776,1.1840249165637482,0.1184024916563748
systematic,4,4,8,4,1,20,10,17112.10692858696,2.1704948420623857,0.2170494842062385
cancer,1,4,8,8,2,50,10,5625.26518368721,17.18838115833458,1.7188381158334578
systematic,6,2,2,8,2,50,10,13491.019750356674,2.273591751575744,0.2273591751575743
systematic,5,2,8,8,2,10,10,13837.253362894058,2.4832517250783432,0.2483251725078343
detailed,6,2,2,4,2,10,10,17219.535880565643,3.316113240187427,0.3316113240187427
systematic,3,2,8,4,1,10,10,14646.767909049988,2.6291108994434658,0.2629110899443466
systematic,4,2,2,4,2,50,10,19574.20925331116,2.208494427366205,0.2208494427366205
systematic,1,4,8,4,2,50,10,22454.48445558548,2.907649167995515,0.2907649167995515
systematic,4,2,2,8,1,10,10,15663.96230006218,2.196551769444407,0.2196551769444407
detailed,2,4,8,2,1,50,10,17203.736211061478,3.4782227586309724,0.3478222758630972
systematic,1,8,4,8,2,20,10,30075.21857452393,2.0485033586457604,0.204850335864576
systematic,5,2,4,4,1,10,10,13557.403392076492,2.110200618182932,0.2110200618182932
detailed,2,2,2,8,1,20,10,21640.576862335205,2.914492303898358,0.2914492303898358
cancer,2,4,2,2,1,20,10,4749.38094830513,14.493198943782884,1.4493198943782883
systematic,6,2,4,4,2,10,10,14176.90471816063,2.279510859153325,0.2279510859153325
detailed,4,8,8,2,1,20,10,48289.05297613144,3.0541917435290777,0.3054191743529078
systematic,2,4,2,4,2,10,10,16801.871532440186,2.2855071830152176,0.2285507183015217
systematic,3,8,8,4,1,10,10,31120.18545293808,2.0687743383009662,0.2068774338300966
systematic,2,2,4,4,1,10,10,12890.185462236404,2.1386947721126965,0.2138694772112696
detailed,3,8,2,4,2,20,10,31160.42926931381,3.0095286009921303,0.300952860099213
systematic,3,4,2,2,1,20,10,26645.156707286835,2.674260755800093,0.2674260755800093
detailed,1,4,8,2,2,10,10,29162.788011074063,3.7646175563697417,0.3764617556369741
detailed,1,4,2,2,1,20,10,25589.61544036865,3.2947268845687856,0.3294726884568785
detailed,6,4,2,2,1,20,10,29300.52543616295,3.36726710720572,0.336726710720572
detailed,1,4,8,2,1,50,10,37846.91726088524,3.56752805362073,0.356752805362073
systematic,6,4,4,2,1,50,10,25940.91937875748,2.35613499944167,0.2356134999441669
cancer,1,2,4,8,2,20,10,3106.0635735988617,16.69700625109432,1.669700625109432
cancer,2,2,8,8,2,10,10,4135.37859916687,14.291937661334542,1.4291937661334542
detailed,4,2,4,4,1,20,10,16648.56849884987,3.804265207088728,0.3804265207088727
systematic,3,2,4,4,2,50,10,15475.990816116331,2.9024816105252933,0.2902481610525293
systematic,3,8,2,8,1,50,10,26007.643679380417,1.239786413987648,0.1239786413987648
detailed,3,8,2,2,2,20,10,39483.59493684769,2.807812968846679,0.2807812968846679
detailed,5,4,8,4,1,10,10,24365.084490299225,3.5801018798951807,0.358010187989518
detailed,3,8,8,2,1,20,10,52127.59596180916,4.155937756148639,0.4155937756148639
cancer,2,8,2,2,1,50,10,6775.677965402603,12.68112166778375,1.268112166778375
cancer,1,2,8,4,2,50,10,3602.300349473953,16.706970970928836,1.6706970970928836
detailed,2,2,4,2,1,50,10,20029.14300608635,2.989590580502875,0.2989590580502875
detailed,3,2,8,2,1,10,10,25449.869386911392,3.107598295457421,0.3107598295457421
detailed,4,2,2,4,1,20,10,20213.18165588379,3.223629736174304,0.3223629736174304
cancer,2,2,8,8,1,50,10,3736.1812591552734,13.08910179348005,1.3089101793480051
cancer,2,8,8,2,2,50,10,10558.974309921265,13.42870532794502,1.342870532794502
detailed,3,2,4,4,2,50,10,16076.5180850029,4.191736447055268,0.4191736447055268
detailed,3,2,2,2,2,50,10,21830.667850971226,3.50609192962224,0.350609192962224
detailed,4,4,8,4,1,50,10,27109.465881347656,4.386640809646612,0.4386640809646612
detailed,2,2,2,4,1,20,10,17700.049684524536,2.9214884142887043,0.2921488414288704
systematic,1,8,8,8,2,50,10,49552.33302092552,1.6031316542005842,0.1603131654200584
detailed,1,4,2,4,2,50,10,29475.08603787422,2.8821222346929485,0.2882122234692948
systematic,6,4,2,2,2,10,10,23821.197355508804,1.953066752715308,0.1953066752715307
systematic,1,2,8,2,2,50,10,23170.75180721283,2.3410301076573363,0.2341030107657336
systematic,6,2,2,8,1,20,10,11960.669484853745,2.603499661594232,0.2603499661594232
systematic,2,4,8,4,2,20,10,20945.78402209282,2.880121316425346,0.2880121316425346
detailed,3,2,4,2,1,20,10,20917.75515317917,2.985218257533788,0.2985218257533788
systematic,2,2,8,4,2,20,10,15800.9730155468,2.7918172235016465,0.2791817223501646
systematic,6,8,2,4,2,20,10,31448.85168361664,1.6958005528929905,0.169580055289299
detailed,3,2,4,4,2,20,10,17526.344297409058,3.703774274829574,0.3703774274829574
detailed,3,2,2,4,1,20,10,18169.512422800064,3.4480097251115995,0.3448009725111599
cancer,2,4,4,8,2,50,10,4729.998900413513,13.753816461724938,1.3753816461724937
systematic,4,8,2,8,1,10,10,28027.522348880768,1.1909229362564346,0.1190922936256434
systematic,6,4,2,8,2,10,10,19266.66086411476,1.5370754073546138,0.1537075407354614
detailed,5,4,4,2,2,50,10,26890.63187670708,3.4599061989199296,0.345990619891993
detailed,2,4,2,2,1,20,10,30352.442220449448,3.068673585771541,0.3068673585771541
detailed,4,2,8,2,1,20,10,19885.790013074875,3.70937931809704,0.3709379318097039
systematic,6,4,8,4,2,20,10,21948.18297314644,2.3679941486007072,0.2367994148600707
detailed,3,4,8,2,1,20,10,33933.21450781822,3.510009931931483,0.3510009931931482
systematic,1,4,4,2,2,10,10,12578.671996116638,1.9422440860072012,0.1942244086007201
cancer,2,8,4,4,1,20,10,6252.586023569107,13.523005623651173,1.3523005623651172
detailed,4,8,4,2,2,20,10,48516.07991075516,3.009966125473433,0.3009966125473433
detailed,2,2,4,8,1,10,10,13639.577728748322,3.4339335965116966,0.3433933596511697
systematic,1,8,4,4,2,10,10,39285.62064003944,1.441940926418576,0.1441940926418576
detailed,1,2,8,8,2,20,10,16638.926754951477,4.371099894837072,0.4371099894837072
detailed,2,4,8,4,1,50,10,30455.363719701767,4.003007492424108,0.4003007492424107
detailed,1,8,8,2,2,10,10,43723.85742878914,3.993452591370734,0.3993452591370734
detailed,4,2,2,2,1,10,10,16223.912113666534,3.1368090360404244,0.3136809036040424
systematic,3,4,8,8,2,10,10,24733.03224992752,2.716991723551489,0.2716991723551489
systematic,6,8,4,8,2,10,10,30713.85706114769,1.3749699393481305,0.137496993934813
systematic,4,8,8,2,1,10,10,31400.896936655045,2.4762957125159506,0.247629571251595
systematic,1,2,4,4,2,50,10,15242.725049734116,2.4819975428025387,0.2481997542802538
systematic,1,8,2,4,2,10,10,19881.58996081352,1.4723811864974938,0.1472381186497494
systematic,3,4,8,2,1,20,10,28529.48811197281,2.2651136662933906,0.226511366629339
cancer,1,4,8,4,2,10,10,5746.268347024918,20.374852305746646,2.0374852305746645
detailed,1,2,2,4,2,20,10,24655.243385076523,2.924011987920678,0.2924011987920678
detailed,3,4,4,2,1,10,10,24716.37245130539,3.2150098340517808,0.3215009834051781
detailed,6,2,8,4,2,10,10,18708.99477863312,3.4531468968599066,0.3453146896859906
detailed,5,8,2,2,2,10,10,42365.0828640461,2.503705082868131,0.2503705082868131
systematic,1,4,4,2,1,10,10,13620.738485574722,1.9840048231214809,0.198400482312148
systematic,5,4,8,4,2,20,10,21528.826199531555,2.551064960507422,0.2551064960507422
cancer,1,8,2,4,1,20,10,6768.960688114166,15.973525014780115,1.5973525014780117
systematic,5,4,2,2,1,10,10,21654.47272491455,2.2373418017316107,0.223734180173161
systematic,3,4,2,8,1,20,10,15334.366438627245,2.6888259985817773,0.2688825998581777
detailed,4,4,4,4,1,10,10,15207.906881570816,3.1875959954538917,0.3187595995453891
detailed,4,2,2,2,2,10,10,11079.268028259276,3.436189317777261,0.3436189317777261
systematic,2,2,4,4,1,20,10,13538.619809865952,2.3908932777596017,0.2390893277759601
detailed,5,8,2,2,1,50,10,44090.50036287308,2.707864618895996,0.2707864618895995
detailed,3,8,2,2,1,50,10,30385.032514333725,2.964151964314637,0.2964151964314637
detailed,3,4,2,2,1,20,10,26910.461764335632,3.1178305189643445,0.3117830518964344
systematic,2,4,2,8,1,50,10,18332.09830570221,2.0298462990659707,0.202984629906597
systematic,2,4,4,4,2,20,10,20041.09109783173,2.432222822291005,0.2432222822291005
detailed,6,4,2,4,1,50,10,23250.176820755005,4.001615246710206,0.4001615246710206
detailed,2,4,8,2,2,20,10,24050.000739336014,3.5541149457681853,0.3554114945768185
detailed,3,2,2,8,2,20,10,14378.36141204834,3.798278338565989,0.3798278338565988
detailed,2,8,2,2,1,10,10,33870.86001396179,2.687473739856228,0.2687473739856228
systematic,3,8,4,8,1,10,10,29539.535989761356,0.9652536824056211,0.0965253682405621
detailed,5,2,4,4,2,20,10,16222.766711950302,3.963113657187218,0.3963113657187218
systematic,2,4,8,2,2,20,10,21073.08352923393,2.262642578763597,0.2262642578763597
systematic,3,2,8,8,1,10,10,12886.270096063614,2.755397446614241,0.2755397446614241
systematic,1,4,4,4,2,20,10,17555.017013072968,1.989029572973486,0.1989029572973486
systematic,1,2,8,2,1,10,10,19662.65799188614,1.9050610635455727,0.1905061063545573
systematic,1,4,8,8,1,10,10,22012.248656988144,2.248282342178015,0.2248282342178015
systematic,6,2,2,4,1,10,10,14641.428406953812,2.1297439426398017,0.2129743942639801
systematic,6,8,8,2,1,20,10,46128.07015109062,1.6920012184112292,0.1692001218411229
detailed,3,8,2,4,1,50,10,37116.38283085823,2.985281228962821,0.2985281228962821
cancer,1,4,4,2,2,50,10,4490.853408575058,16.935713319710068,1.6935713319710068
systematic,5,4,4,2,1,20,10,21502.29645228386,1.997917878119443,0.1997917878119443
cancer,1,2,4,2,2,20,10,2615.543986320496,17.22742928583661,1.722742928583661
systematic,4,8,8,2,1,20,10,40314.63494729996,2.1279189508019862,0.2127918950801986
systematic,2,8,2,8,1,50,10,28172.38871717453,1.8342707734670411,0.1834270773467041
systematic,3,4,8,2,2,50,10,26436.51338505745,2.822707995836898,0.2822707995836898
detailed,2,2,8,8,1,20,10,21822.67423892021,3.8603961573912153,0.3860396157391215
cancer,2,4,4,2,1,10,10,4028.577117204666,12.636398988301147,1.2636398988301147
detailed,3,2,2,8,1,10,10,19947.4726536274,3.642526336895517,0.3642526336895517
detailed,4,8,4,2,1,10,10,32719.36020541191,3.1245337595421065,0.3124533759542106
systematic,6,2,8,4,1,50,10,17277.429590702057,2.660283482749869,0.2660283482749869
systematic,4,8,4,8,2,20,10,32987.78039956093,1.447577933639426,0.1447577933639426
systematic,3,2,2,4,2,20,10,15221.528101205826,2.543960021441736,0.2543960021441736
detailed,2,8,4,2,2,50,10,57043.31168293953,2.8120029646367324,0.2812002964636732
systematic,5,2,2,2,2,10,10,15208.68985080719,1.7400270449277768,0.1740027044927777
cancer,1,4,8,2,1,50,10,5698.5133011341095,17.226592502820722,1.722659250282072
detailed,4,8,4,2,1,20,10,41527.90331244469,2.78406907232525,0.278406907232525
systematic,6,4,4,4,2,10,10,23218.699724912643,2.104316123518512,0.2104316123518511
systematic,2,8,2,2,1,50,10,49489.77901148796,1.626088906350864,0.1626088906350864
systematic,3,4,8,4,2,10,10,22754.185118436813,2.323869052172506,0.2323869052172506
detailed,3,8,8,4,1,10,10,46668.90495610237,3.740959619586985,0.3740959619586985
systematic,2,2,8,4,2,50,10,16555.29165005684,3.2449525458512114,0.3244952545851211
systematic,5,8,4,8,1,50,10,32430.20510840416,0.9732408470605708,0.097324084706057
detailed,2,4,4,4,1,10,10,19107.7381837368,3.679785382224584,0.3679785382224583
systematic,6,8,2,8,2,20,10,29599.426548480988,1.3745836293069469,0.1374583629306946
systematic,3,4,2,2,1,10,10,22247.75819826126,2.228173562014209,0.2228173562014209
cancer,1,4,4,2,1,20,10,3968.2823853492737,16.501341755304395,1.6501341755304395
detailed,1,2,4,8,1,10,10,18863.6611866951,3.613564555051063,0.3613564555051063
systematic,6,8,4,2,1,50,10,49096.75533056259,1.89758760073444,0.189758760073444
systematic,4,2,8,4,1,20,10,15580.416954755785,2.3749707835252383,0.2374970783525238
detailed,2,4,2,4,2,50,10,22681.013033151627,3.150637614694788,0.3150637614694788
systematic,6,8,8,4,1,20,10,40807.47689318657,1.8625526255125893,0.1862552625512589
cancer,2,2,4,8,2,20,10,3428.703589200973,12.950770677948174,1.2950770677948171
cancer,2,8,8,2,2,10,10,8940.18445611,15.462799864918876,1.5462799864918877
cancer,1,2,4,2,1,50,10,3018.151118516922,16.56795309485161,1.656795309485161
cancer,2,2,2,4,1,10,10,2968.439161300659,13.638693040361527,1.3638693040361527
cancer,1,4,4,8,1,50,10,4490.964928865433,16.52816603255565,1.652816603255565
systematic,5,4,2,8,2,20,10,16920.70755958557,1.7930155065086222,0.1793015506508622
detailed,1,8,4,2,1,10,10,43954.84013962746,3.0609866270210397,0.3060986627021039
systematic,5,4,8,4,1,20,10,25339.33062696457,2.2610441206303693,0.2261044120630369
systematic,3,8,4,2,2,20,10,39907.42456102371,2.0291446385790013,0.2029144638579001
detailed,5,2,8,2,1,10,10,18516.721445083615,3.088741641270597,0.3088741641270597
systematic,6,4,2,4,1,10,10,22772.49155640602,1.641415624032688,0.1641415624032688
cancer,2,8,2,4,2,20,10,6425.427770853043,12.87702490292309,1.2877024902923089
cancer,1,2,2,2,2,10,10,2900.2465200424194,16.58016993146824,1.658016993146824
detailed,6,4,8,4,2,20,10,29688.995274066925,4.027959948441505,0.4027959948441505
detailed,2,4,8,4,2,10,10,15926.78877544403,3.773469694662863,0.3773469694662862
cancer,2,4,4,4,1,20,10,4476.680978059769,12.837644655420036,1.2837644655420035
systematic,6,4,4,2,2,50,10,24629.0121819973,2.4904250449264893,0.2490425044926489
detailed,2,4,2,2,2,50,10,36406.3920648098,2.842252224541521,0.2842252224541521
detailed,3,4,4,4,2,20,10,24296.12513518333,3.462272005648406,0.3462272005648407
systematic,2,8,4,8,1,20,10,28156.12121844292,1.1365771644205067,0.1136577164420506
systematic,6,8,4,4,1,10,10,28138.618535518646,1.0689420143960342,0.1068942014396034
systematic,1,4,2,2,1,10,10,35941.18519949913,2.1482730164214106,0.214827301642141
systematic,4,8,2,4,2,50,10,44911.82244539261,1.168871173990491,0.116887117399049
systematic,2,8,8,8,1,50,10,47167.14686179161,2.2821638651524734,0.2282163865152473
systematic,5,2,2,2,2,50,10,21882.77480912209,1.8652976806500692,0.1865297680650069
systematic,1,4,4,8,2,20,10,16937.309024572372,2.22792730454721,0.2227927304547209
systematic,4,8,2,8,2,50,10,36502.34461927414,1.1887136619907686,0.1188713661990768
systematic,5,8,4,4,2,10,10,38517.31995487213,1.3248425940519224,0.1324842594051922
detailed,3,2,8,2,2,10,10,29152.946609020237,3.46443314428216,0.346443314428216
systematic,1,8,4,4,2,20,10,30674.12067437172,1.4188749945512875,0.1418874994551287
detailed,1,4,4,2,2,50,10,30453.283612012863,3.155806845623451,0.3155806845623451
cancer,1,4,4,4,2,50,10,4643.097551107407,16.855638271115378,1.6855638271115378
systematic,1,8,8,2,1,20,10,42360.49296283722,1.5891746952728163,0.1589174695272816
systematic,1,8,4,8,1,20,10,31982.313938379288,1.084216353554914,0.1084216353554913
systematic,5,4,4,4,1,10,10,20367.22199273109,2.0088063651981374,0.2008806365198137
systematic,2,2,4,8,1,20,10,11879.28805398941,2.755212018817073,0.2755212018817072
systematic,2,2,4,8,2,10,10,13082.293000936508,2.3925328185701997,0.2392532818570199
cancer,2,4,4,2,1,50,10,4263.38736987114,13.604389050436415,1.3604389050436416
systematic,3,4,4,2,1,10,10,22594.879535913467,2.2429766672722478,0.2242976667272247
systematic,6,4,8,8,2,20,10,23613.17665886879,2.505489152246636,0.2505489152246635
systematic,6,4,8,2,1,20,10,25840.10839176178,1.8544701492880489,0.1854470149288048
detailed,5,4,4,2,2,20,10,24793.952519655228,3.505353572690295,0.3505353572690295
detailed,6,2,8,4,2,20,10,19855.747158050537,3.9776059154535655,0.3977605915453565
detailed,3,8,4,2,1,20,10,50813.102820158005,2.978477350458024,0.2978477350458024
systematic,5,8,8,4,2,20,10,46230.060475587845,1.9019368547909965,0.1901936854790996
systematic,5,2,4,4,2,50,10,14530.043057441711,2.779428654069469,0.2779428654069469
detailed,6,8,4,2,1,50,10,46638.121497392654,3.114038136378481,0.3114038136378481
detailed,1,4,4,2,2,20,10,29371.83811879158,3.25442439529495,0.325442439529495
detailed,5,2,4,4,2,50,10,19093.9737200737,4.149983408851514,0.4149983408851514
detailed,5,2,2,8,2,20,10,17800.650569677353,3.16574531289123,0.316574531289123
systematic,1,4,8,2,1,20,10,22596.976276397705,1.7647012177510466,0.1764701217751046
systematic,6,8,8,8,2,20,10,47051.54825139046,1.8613918496407635,0.1861391849640763
detailed,5,2,4,8,2,50,10,18795.908539056774,4.180417580440404,0.4180417580440403
detailed,5,4,2,2,2,20,10,31249.94785714149,3.0219392603273185,0.3021939260327319
systematic,5,8,2,2,1,50,10,30926.724632263184,1.401860917034477,0.1401860917034477
detailed,3,8,4,4,2,50,10,34692.8116710186,3.221890683576987,0.3221890683576987
detailed,2,8,2,2,1,50,10,38410.56047844887,2.8107018246612125,0.2810701824661212
detailed,1,4,4,4,1,20,10,23293.94548392296,3.2749532713703142,0.3274953271370314
systematic,2,4,2,2,1,20,10,22775.10569381714,1.964401298392601,0.1964401298392601
detailed,5,8,8,2,2,20,10,64325.18227601051,3.3831945395972167,0.3383194539597217
systematic,6,2,8,8,1,10,10,13233.12121963501,2.3838894496814507,0.238388944968145
detailed,3,2,8,2,1,20,10,23183.348390102383,3.475532816041325,0.3475532816041325
systematic,6,4,8,4,2,10,10,23261.142871141437,2.126225070821345,0.2126225070821345
detailed,4,2,8,8,2,10,10,16941.58074450493,4.030207844641301,0.4030207844641301
detailed,3,2,4,4,2,10,10,18969.54873394966,3.340605630205956,0.3340605630205956
detailed,4,2,8,4,1,50,10,15141.988288402556,4.355881247254832,0.4355881247254832
cancer,2,2,2,2,1,20,10,3143.9455194473267,13.285819647745331,1.3285819647745334
systematic,6,2,8,4,2,10,10,18123.652544498444,2.189451797293557,0.2189451797293557
detailed,1,8,8,2,1,20,10,49714.75500631333,3.798072993678216,0.3798072993678216
detailed,4,4,8,4,2,10,10,32289.628157138824,3.4200954386087434,0.3420095438608743
systematic,2,4,8,4,1,20,10,20524.92198038101,2.5079598821408733,0.2507959882140873
systematic,5,2,4,8,1,50,10,16495.915852308273,2.758420184819728,0.2758420184819728
detailed,2,2,8,8,1,10,10,17814.60066485405,3.7664290390242634,0.3766429039024263
systematic,6,8,8,8,1,10,10,32564.16722369194,1.697306420903736,0.1697306420903736
systematic,3,4,4,4,2,10,10,18913.32894849777,2.447995340570616,0.2447995340570616
detailed,6,4,8,4,1,10,10,29618.973932743076,3.911989179568926,0.3911989179568926
cancer,1,2,2,2,2,20,10,3264.378327846527,16.278719683315238,1.6278719683315237
systematic,6,8,8,4,1,50,10,43489.50909924507,1.6634917583262785,0.1663491758326278
systematic,5,4,2,8,1,50,10,16553.52494597435,1.8363707466855617,0.1836370746685562
systematic,5,2,8,4,1,50,10,14501.031313419342,2.821600346181377,0.2821600346181377
systematic,3,8,4,8,2,10,10,31123.86144208908,1.7919651693616008,0.17919651693616
detailed,1,8,4,2,1,20,10,45788.60174655914,2.655792416514509,0.2655792416514509
systematic,2,4,2,8,2,20,10,17049.80460858345,2.01234309206211,0.201234309206211
cancer,1,4,4,8,2,50,10,5088.557897090912,15.937244326699654,1.593724432669965
systematic,2,8,8,8,2,50,10,45345.70475244522,2.3410465574898693,0.2341046557489869
detailed,6,2,2,4,1,10,10,24081.60521197319,3.165590364126842,0.3165590364126842
systematic,2,4,4,2,1,20,10,19067.16524028778,2.314268683237733,0.2314268683237733
detailed,3,2,2,2,1,20,10,20203.316106319427,3.223642627799372,0.3223642627799372
systematic,6,8,4,8,1,20,10,29408.000828266144,1.3309041028922493,0.1330904102892249
systematic,3,4,4,2,1,20,10,20264.90541911125,2.5465393161027783,0.2546539316102778
systematic,6,8,4,2,1,20,10,42795.84501409531,1.3815851069328164,0.1381585106932816
systematic,2,4,8,2,2,50,10,23709.86574292183,2.5474407427790147,0.2547440742779014
systematic,6,4,8,8,2,10,10,27789.98457431793,2.176803398660789,0.2176803398660788
cancer,2,4,4,8,1,10,10,3864.923744678497,13.335264917959169,1.3335264917959169
systematic,1,4,8,2,2,50,10,24889.758989572525,2.3793389120081616,0.2379338912008161
systematic,6,8,4,2,2,10,10,42195.57275986672,1.5853020071486688,0.1585302007148668
systematic,1,4,8,4,1,10,10,12768.382461547852,1.897830635924997,0.1897830635924997
detailed,2,2,2,4,2,50,10,21262.24893975258,3.1273342124647683,0.3127334212464768
detailed,3,2,2,8,2,10,10,19134.454996824265,3.5305619814578377,0.3530561981457837
detailed,6,2,4,2,1,10,10,20051.61184501648,2.8675456351286863,0.2867545635128686
systematic,1,2,4,4,2,10,10,14153.88346195221,2.258246180719369,0.2258246180719369
detailed,2,2,8,2,2,10,10,23804.856689453125,3.3515489779957077,0.3351548977995707
detailed,2,2,8,4,2,20,10,16807.098999738693,3.8282508767873873,0.3828250876787387
systematic,4,2,4,2,1,20,10,15576.08536052704,1.463315383031795,0.1463315383031795
systematic,6,8,2,8,2,10,10,33066.900272369385,1.1077858214232454,0.1107785821423245
detailed,1,2,8,4,1,10,10,20211.52947664261,3.321421155081953,0.3321421155081953
systematic,4,2,8,8,1,10,10,12430.613920927048,2.7153791165636307,0.2715379116563631
cancer,1,2,8,4,2,10,10,3744.703052520752,16.913601003068443,1.6913601003068444
cancer,1,4,4,4,2,10,10,4522.822754859924,16.95953785919379,1.6959537859193792
systematic,3,4,8,4,2,50,10,23760.642998218536,3.340322214956846,0.3340322214956846
detailed,5,4,4,2,1,10,10,31078.309694051743,2.9776449301288377,0.2977644930128837
cancer,1,8,2,4,2,50,10,5070.709897518158,16.3092363290584,1.63092363290584
detailed,1,8,2,2,2,50,10,57422.116176605225,2.545547370834361,0.2545547370834361
systematic,3,2,4,2,2,10,10,16399.028426647186,2.138066871142425,0.2138066871142425
