dataset,test_fold,n_conv_layers,n_filters,kernel_size,n_dense_layers,n_neurons
systematic,3,2,2,2,2,10
systematic,3,2,2,2,2,20
systematic,3,2,2,2,2,50
systematic,3,2,2,4,1,10
systematic,3,2,2,4,1,20
systematic,3,2,2,4,1,50
systematic,3,2,2,4,2,10
systematic,3,2,2,4,2,20
systematic,3,2,2,4,2,50
systematic,3,2,2,8,1,10
systematic,3,2,2,8,1,20
systematic,3,2,2,8,1,50
systematic,3,2,2,8,2,10
systematic,3,2,2,8,2,20
systematic,3,2,2,8,2,50
systematic,3,2,4,2,1,10
systematic,3,2,4,2,1,20
systematic,3,2,4,2,1,50
systematic,3,2,4,2,2,10
systematic,3,2,4,2,2,20
systematic,3,2,4,2,2,50
systematic,3,2,4,4,1,10
systematic,3,2,4,4,1,20
systematic,3,2,4,4,1,50
systematic,3,2,4,4,2,10
systematic,3,2,4,4,2,20
systematic,3,2,4,4,2,50
systematic,3,2,4,8,1,10
systematic,3,2,4,8,1,20
systematic,3,2,4,8,1,50
systematic,3,2,4,8,2,10
systematic,3,2,4,8,2,20
systematic,3,2,4,8,2,50
systematic,3,2,8,2,1,10
systematic,3,2,8,2,1,20
systematic,3,2,8,2,1,50
systematic,3,2,8,2,2,10
systematic,3,2,8,2,2,20
systematic,3,2,8,2,2,50
systematic,3,2,8,4,1,10
systematic,3,2,8,4,1,20
systematic,3,2,8,4,1,50
systematic,3,2,8,4,2,10
systematic,3,2,8,4,2,20
systematic,3,2,8,4,2,50
systematic,3,2,8,8,1,10
systematic,3,2,8,8,1,20
systematic,3,2,8,8,1,50
systematic,3,2,8,8,2,10
systematic,3,2,8,8,2,20
systematic,3,2,8,8,2,50
systematic,3,4,2,2,1,10
systematic,3,4,2,2,1,20
systematic,3,4,2,2,1,50
systematic,3,4,2,2,2,10
systematic,3,4,2,2,2,20
systematic,3,4,2,2,2,50
systematic,3,4,2,4,1,10
systematic,3,4,2,4,1,20
systematic,3,4,2,4,1,50
systematic,3,4,2,4,2,10
systematic,3,4,2,4,2,20
systematic,3,4,2,4,2,50
systematic,3,4,2,8,1,10
systematic,3,4,2,8,1,20
systematic,3,4,2,8,1,50
systematic,3,4,2,8,2,10
systematic,3,4,2,8,2,20
systematic,3,4,2,8,2,50
systematic,3,4,4,2,1,10
systematic,3,4,4,2,1,20
systematic,3,4,4,2,1,50
systematic,3,4,4,2,2,10
systematic,3,4,4,2,2,20
systematic,3,4,4,2,2,50
systematic,3,4,4,4,1,10
systematic,3,4,4,4,1,20
systematic,3,4,4,4,1,50
systematic,3,4,4,4,2,10
systematic,3,4,4,4,2,20
systematic,3,4,4,4,2,50
systematic,3,4,4,8,1,10
systematic,3,4,4,8,1,20
systematic,3,4,4,8,1,50
systematic,3,4,4,8,2,10
systematic,3,4,4,8,2,20
systematic,3,4,4,8,2,50
systematic,3,4,8,2,1,10
systematic,3,4,8,2,1,20
systematic,3,4,8,2,1,50
systematic,3,4,8,2,2,10
systematic,3,4,8,2,2,20
systematic,3,4,8,2,2,50
systematic,3,4,8,4,1,10
systematic,3,4,8,4,1,20
systematic,3,4,8,4,1,50
systematic,3,4,8,4,2,10
systematic,3,4,8,4,2,20
systematic,3,4,8,4,2,50
systematic,3,4,8,8,1,10
systematic,3,4,8,8,1,20
systematic,3,4,8,8,1,50
systematic,3,4,8,8,2,10
systematic,3,4,8,8,2,20
systematic,3,4,8,8,2,50
systematic,3,8,2,2,1,10
systematic,3,8,2,2,1,20
systematic,3,8,2,2,1,50
systematic,3,8,2,2,2,10
systematic,3,8,2,2,2,20
systematic,3,8,2,2,2,50
systematic,3,8,2,4,1,10
systematic,3,8,2,4,1,20
systematic,3,8,2,4,1,50
systematic,3,8,2,4,2,10
systematic,3,8,2,4,2,20
systematic,3,8,2,4,2,50
systematic,3,8,2,8,1,10
systematic,3,8,2,8,1,20
systematic,3,8,2,8,1,50
systematic,3,8,2,8,2,10
systematic,3,8,2,8,2,20
systematic,3,8,2,8,2,50
systematic,3,8,4,2,1,10
systematic,3,8,4,2,1,20
systematic,3,8,4,2,1,50
systematic,3,8,4,2,2,10
systematic,3,8,4,2,2,20
systematic,3,8,4,2,2,50
systematic,3,8,4,4,1,10
systematic,3,8,4,4,1,20
systematic,3,8,4,4,1,50
systematic,3,8,4,4,2,10
systematic,3,8,4,4,2,20
systematic,3,8,4,4,2,50
systematic,3,8,4,8,1,10
systematic,3,8,4,8,1,20
systematic,3,8,4,8,1,50
systematic,3,8,4,8,2,10
systematic,3,8,4,8,2,20
systematic,3,8,4,8,2,50
systematic,3,8,8,2,1,10
systematic,3,8,8,2,1,20
systematic,3,8,8,2,1,50
systematic,3,8,8,2,2,10
systematic,3,8,8,2,2,20
systematic,3,8,8,2,2,50
systematic,3,8,8,4,1,10
systematic,3,8,8,4,1,20
systematic,3,8,8,4,1,50
systematic,3,8,8,4,2,10
systematic,3,8,8,4,2,20
systematic,3,8,8,4,2,50
systematic,3,8,8,8,1,10
systematic,3,8,8,8,1,20
systematic,3,8,8,8,1,50
systematic,3,8,8,8,2,10
systematic,3,8,8,8,2,20
systematic,3,8,8,8,2,50
systematic,4,2,2,2,1,10
systematic,4,2,2,2,1,20
systematic,4,2,2,2,1,50
systematic,4,2,2,2,2,10
systematic,4,2,2,2,2,20
systematic,4,2,2,2,2,50
systematic,4,2,2,4,1,10
systematic,4,2,2,4,1,20
systematic,4,2,2,4,1,50
systematic,4,2,2,4,2,10
systematic,4,2,2,4,2,20
systematic,4,2,2,4,2,50
systematic,4,2,2,8,1,10
systematic,4,2,2,8,1,20
systematic,4,2,2,8,1,50
systematic,4,2,2,8,2,10
systematic,4,2,2,8,2,20
systematic,4,2,2,8,2,50
systematic,4,2,4,2,1,10
systematic,4,2,4,2,1,20
systematic,4,2,4,2,1,50
systematic,4,2,4,2,2,10
systematic,4,2,4,2,2,20
systematic,4,2,4,2,2,50
systematic,4,2,4,4,1,10
systematic,4,2,4,4,1,20
systematic,4,2,4,4,1,50
systematic,4,2,4,4,2,10
systematic,4,2,4,4,2,20
systematic,4,2,4,4,2,50
systematic,4,2,4,8,1,10
systematic,4,2,4,8,1,20
systematic,4,2,4,8,1,50
systematic,4,2,4,8,2,10
systematic,4,2,4,8,2,20
systematic,4,2,4,8,2,50
systematic,4,2,8,2,1,10
systematic,4,2,8,2,1,20
systematic,4,2,8,2,1,50
systematic,4,2,8,2,2,10
systematic,4,2,8,2,2,20
systematic,4,2,8,2,2,50
systematic,4,2,8,4,1,10
systematic,4,2,8,4,1,20
systematic,4,2,8,4,1,50
systematic,4,2,8,4,2,10
systematic,4,2,8,4,2,20
systematic,4,2,8,4,2,50
systematic,4,2,8,8,1,10
systematic,4,2,8,8,1,20
systematic,4,2,8,8,1,50
systematic,4,2,8,8,2,10
systematic,4,2,8,8,2,20
systematic,4,2,8,8,2,50
systematic,4,4,2,2,1,10
systematic,4,4,2,2,1,20
systematic,4,4,2,2,1,50
systematic,4,4,2,2,2,10
systematic,4,4,2,2,2,20
systematic,4,4,2,2,2,50
systematic,4,4,2,4,1,10
systematic,4,4,2,4,1,20
systematic,4,4,2,4,1,50
systematic,4,4,2,4,2,10
systematic,4,4,2,4,2,20
systematic,4,4,2,4,2,50
systematic,4,4,2,8,1,10
systematic,4,4,2,8,1,20
systematic,4,4,2,8,1,50
systematic,4,4,2,8,2,10
systematic,4,4,2,8,2,20
systematic,4,4,2,8,2,50
systematic,4,4,4,2,1,10
systematic,4,4,4,2,1,20
systematic,4,4,4,2,1,50
systematic,4,4,4,2,2,10
systematic,4,4,4,2,2,20
systematic,4,4,4,2,2,50
systematic,4,4,4,4,1,10
systematic,4,4,4,4,1,20
systematic,4,4,4,4,1,50
systematic,4,4,4,4,2,10
systematic,4,4,4,4,2,20
systematic,4,4,4,4,2,50
systematic,4,4,4,8,1,10
systematic,4,4,4,8,1,20
systematic,4,4,4,8,1,50
systematic,4,4,4,8,2,10
systematic,4,4,4,8,2,20
systematic,4,4,4,8,2,50
systematic,4,4,8,2,1,10
systematic,4,4,8,2,1,20
systematic,4,4,8,2,1,50
systematic,4,4,8,2,2,10
systematic,4,4,8,2,2,20
systematic,4,4,8,2,2,50
systematic,4,4,8,4,1,10
systematic,4,4,8,4,1,20
systematic,4,4,8,4,1,50
systematic,4,4,8,4,2,10
systematic,4,4,8,4,2,20
systematic,4,4,8,4,2,50
systematic,4,4,8,8,1,10
systematic,4,4,8,8,1,20
systematic,4,4,8,8,1,50
systematic,4,4,8,8,2,10
systematic,4,4,8,8,2,20
systematic,4,4,8,8,2,50
systematic,4,8,2,2,1,10
systematic,4,8,2,2,1,20
systematic,4,8,2,2,1,50
systematic,4,8,2,2,2,10
systematic,4,8,2,2,2,20
systematic,4,8,2,2,2,50
systematic,4,8,2,4,1,10
systematic,4,8,2,4,1,20
systematic,4,8,2,4,1,50
systematic,4,8,2,4,2,10
systematic,4,8,2,4,2,20
systematic,4,8,2,4,2,50
systematic,4,8,2,8,1,10
systematic,4,8,2,8,1,20
systematic,4,8,2,8,1,50
systematic,4,8,2,8,2,10
systematic,4,8,2,8,2,20
systematic,4,8,2,8,2,50
systematic,4,8,4,2,1,10
systematic,4,8,4,2,1,20
systematic,4,8,4,2,1,50
systematic,4,8,4,2,2,10
systematic,4,8,4,2,2,20
systematic,4,8,4,2,2,50
systematic,4,8,4,4,1,10
systematic,4,8,4,4,1,20
systematic,4,8,4,4,1,50
systematic,4,8,4,4,2,10
systematic,4,8,4,4,2,20
systematic,4,8,4,4,2,50
systematic,4,8,4,8,1,10
systematic,4,8,4,8,1,20
systematic,4,8,4,8,1,50
systematic,4,8,4,8,2,10
systematic,4,8,4,8,2,20
systematic,4,8,4,8,2,50
systematic,4,8,8,2,1,10
systematic,4,8,8,2,1,20
systematic,4,8,8,2,1,50
systematic,4,8,8,2,2,10
systematic,4,8,8,2,2,20
systematic,4,8,8,2,2,50
systematic,4,8,8,4,1,10
systematic,4,8,8,4,1,20
systematic,4,8,8,4,1,50
systematic,4,8,8,4,2,10
systematic,4,8,8,4,2,20
systematic,4,8,8,4,2,50
systematic,4,8,8,8,1,10
systematic,4,8,8,8,1,20
systematic,4,8,8,8,1,50
systematic,4,8,8,8,2,10
systematic,4,8,8,8,2,20
systematic,4,8,8,8,2,50
systematic,5,2,2,2,1,10
systematic,5,2,2,2,1,20
systematic,5,2,2,2,1,50
systematic,5,2,2,2,2,10
systematic,5,2,2,2,2,20
systematic,5,2,2,2,2,50
systematic,5,2,2,4,1,10
systematic,5,2,2,4,1,20
systematic,5,2,2,4,1,50
systematic,5,2,2,4,2,10
systematic,5,2,2,4,2,20
systematic,5,2,2,4,2,50
systematic,5,2,2,8,1,10
systematic,5,2,2,8,1,20
systematic,5,2,2,8,1,50
systematic,5,2,2,8,2,10
systematic,5,2,2,8,2,20
systematic,5,2,2,8,2,50
systematic,5,2,4,2,1,10
systematic,5,2,4,2,1,20
systematic,5,2,4,2,1,50
systematic,5,2,4,2,2,10
systematic,5,2,4,2,2,20
systematic,5,2,4,2,2,50
systematic,5,2,4,4,1,10
systematic,5,2,4,4,1,20
systematic,5,2,4,4,1,50
systematic,5,2,4,4,2,10
systematic,5,2,4,4,2,20
systematic,5,2,4,4,2,50
systematic,5,2,4,8,1,10
systematic,5,2,4,8,1,20
systematic,5,2,4,8,1,50
systematic,5,2,4,8,2,10
systematic,5,2,4,8,2,20
systematic,5,2,4,8,2,50
systematic,5,2,8,2,1,10
systematic,5,2,8,2,1,20
systematic,5,2,8,2,1,50
systematic,5,2,8,2,2,10
systematic,5,2,8,2,2,20
systematic,5,2,8,2,2,50
systematic,5,2,8,4,1,10
systematic,5,2,8,4,1,20
systematic,5,2,8,4,1,50
systematic,5,2,8,4,2,10
systematic,5,2,8,4,2,20
systematic,5,2,8,4,2,50
systematic,5,2,8,8,1,10
systematic,5,2,8,8,1,20
systematic,5,2,8,8,1,50
systematic,5,2,8,8,2,10
systematic,5,2,8,8,2,20
systematic,5,2,8,8,2,50
systematic,5,4,2,2,1,10
systematic,5,4,2,2,1,20
systematic,5,4,2,2,1,50
systematic,5,4,2,2,2,10
systematic,5,4,2,2,2,20
systematic,5,4,2,2,2,50
systematic,5,4,2,4,1,10
systematic,5,4,2,4,1,20
systematic,5,4,2,4,1,50
systematic,5,4,2,4,2,10
systematic,5,4,2,4,2,20
systematic,5,4,2,4,2,50
systematic,5,4,2,8,1,10
systematic,5,4,2,8,1,20
systematic,5,4,2,8,1,50
systematic,5,4,2,8,2,10
systematic,5,4,2,8,2,20
systematic,5,4,2,8,2,50
systematic,5,4,4,2,1,10
systematic,5,4,4,2,1,20
systematic,5,4,4,2,1,50
systematic,5,4,4,2,2,10
systematic,5,4,4,2,2,20
systematic,5,4,4,2,2,50
systematic,5,4,4,4,1,10
systematic,5,4,4,4,1,20
systematic,5,4,4,4,1,50
systematic,5,4,4,4,2,10
systematic,5,4,4,4,2,20
systematic,5,4,4,4,2,50
systematic,5,4,4,8,1,10
systematic,5,4,4,8,1,20
systematic,5,4,4,8,1,50
systematic,5,4,4,8,2,10
systematic,5,4,4,8,2,20
systematic,5,4,4,8,2,50
systematic,5,4,8,2,1,10
systematic,5,4,8,2,1,20
systematic,5,4,8,2,1,50
systematic,5,4,8,2,2,10
systematic,5,4,8,2,2,20
systematic,5,4,8,2,2,50
systematic,5,4,8,4,1,10
systematic,5,4,8,4,1,20
systematic,5,4,8,4,1,50
systematic,5,4,8,4,2,10
systematic,5,4,8,4,2,20
systematic,5,4,8,4,2,50
systematic,5,4,8,8,1,10
systematic,5,4,8,8,1,20
systematic,5,4,8,8,1,50
systematic,5,4,8,8,2,10
systematic,5,4,8,8,2,20
systematic,5,4,8,8,2,50
systematic,5,8,2,2,1,10
systematic,5,8,2,2,1,20
systematic,5,8,2,2,1,50
systematic,5,8,2,2,2,10
systematic,5,8,2,2,2,20
systematic,5,8,2,2,2,50
systematic,5,8,2,4,1,10
systematic,5,8,2,4,1,20
systematic,5,8,2,4,1,50
systematic,5,8,2,4,2,10
systematic,5,8,2,4,2,20
systematic,5,8,2,4,2,50
systematic,5,8,2,8,1,10
systematic,5,8,2,8,1,20
systematic,5,8,2,8,1,50
systematic,5,8,2,8,2,10
systematic,5,8,2,8,2,20
systematic,5,8,2,8,2,50
systematic,5,8,4,2,1,10
systematic,5,8,4,2,1,20
systematic,5,8,4,2,1,50
systematic,5,8,4,2,2,10
systematic,5,8,4,2,2,20
systematic,5,8,4,2,2,50
systematic,5,8,4,4,1,10
systematic,5,8,4,4,1,20
systematic,5,8,4,4,1,50
systematic,5,8,4,4,2,10
systematic,5,8,4,4,2,20
systematic,5,8,4,4,2,50
systematic,5,8,4,8,1,10
systematic,5,8,4,8,1,20
systematic,5,8,4,8,1,50
systematic,5,8,4,8,2,10
systematic,5,8,4,8,2,20
systematic,5,8,4,8,2,50
systematic,5,8,8,2,1,10
systematic,5,8,8,2,1,20
systematic,5,8,8,2,1,50
systematic,5,8,8,2,2,10
systematic,5,8,8,2,2,20
systematic,5,8,8,2,2,50
systematic,5,8,8,4,1,10
systematic,5,8,8,4,1,20
systematic,5,8,8,4,1,50
systematic,5,8,8,4,2,10
systematic,5,8,8,4,2,20
systematic,5,8,8,4,2,50
systematic,5,8,8,8,1,10
systematic,5,8,8,8,1,20
systematic,5,8,8,8,1,50
systematic,5,8,8,8,2,10
systematic,5,8,8,8,2,20
systematic,5,8,8,8,2,50
systematic,6,2,2,2,1,10
systematic,6,2,2,2,1,20
systematic,6,2,2,2,1,50
systematic,6,2,2,2,2,10
systematic,6,2,2,2,2,20
systematic,6,2,2,2,2,50
systematic,6,2,2,4,1,10
systematic,6,2,2,4,1,20
systematic,6,2,2,4,1,50
systematic,6,2,2,4,2,10
systematic,6,2,2,4,2,20
systematic,6,2,2,4,2,50
systematic,6,2,2,8,1,10
systematic,6,2,2,8,1,20
systematic,6,2,2,8,1,50
systematic,6,2,2,8,2,10
systematic,6,2,2,8,2,20
systematic,6,2,2,8,2,50
systematic,6,2,4,2,1,10
systematic,6,2,4,2,1,20
systematic,6,2,4,2,1,50
systematic,6,2,4,2,2,10
systematic,6,2,4,2,2,20
systematic,6,2,4,2,2,50
systematic,6,2,4,4,1,10
systematic,6,2,4,4,1,20
systematic,6,2,4,4,1,50
systematic,6,2,4,4,2,10
systematic,6,2,4,4,2,20
systematic,6,2,4,4,2,50
systematic,6,2,4,8,1,10
systematic,6,2,4,8,1,20
systematic,6,2,4,8,1,50
systematic,6,2,4,8,2,10
systematic,6,2,4,8,2,20
systematic,6,2,4,8,2,50
systematic,6,2,8,2,1,10
systematic,6,2,8,2,1,20
systematic,6,2,8,2,1,50
systematic,6,2,8,2,2,10
systematic,6,2,8,2,2,20
systematic,6,2,8,2,2,50
systematic,6,2,8,4,1,10
systematic,6,2,8,4,1,20
systematic,6,2,8,4,1,50
systematic,6,2,8,4,2,10
systematic,6,2,8,4,2,20
systematic,6,2,8,4,2,50
systematic,6,2,8,8,1,10
systematic,6,2,8,8,1,20
systematic,6,2,8,8,1,50
systematic,6,2,8,8,2,10
systematic,6,2,8,8,2,20
systematic,6,2,8,8,2,50
systematic,6,4,2,2,1,10
systematic,6,4,2,2,1,20
systematic,6,4,2,2,1,50
systematic,6,4,2,2,2,10
systematic,6,4,2,2,2,20
