dataset,test_fold,n_conv_layers,n_filters,kernel_size,n_dense_layers,n_neurons
systematic,1,2,2,2,1,10
systematic,1,2,2,2,1,20
systematic,1,2,2,2,1,50
systematic,1,2,2,2,2,10
systematic,1,2,2,2,2,20
systematic,1,2,2,2,2,50
systematic,1,2,2,4,1,10
systematic,1,2,2,4,1,20
systematic,1,2,2,4,1,50
systematic,1,2,2,4,2,10
systematic,1,2,2,4,2,20
systematic,1,2,2,4,2,50
systematic,1,2,2,8,1,10
systematic,1,2,2,8,1,20
systematic,1,2,2,8,1,50
systematic,1,2,2,8,2,10
systematic,1,2,2,8,2,20
systematic,1,2,2,8,2,50
systematic,1,2,4,2,1,10
systematic,1,2,4,2,1,20
systematic,1,2,4,2,1,50
systematic,1,2,4,2,2,10
systematic,1,2,4,2,2,20
systematic,1,2,4,2,2,50
systematic,1,2,4,4,1,10
systematic,1,2,4,4,1,20
systematic,1,2,4,4,1,50
systematic,1,2,4,4,2,10
systematic,1,2,4,4,2,20
systematic,1,2,4,4,2,50
systematic,1,2,4,8,1,10
systematic,1,2,4,8,1,20
systematic,1,2,4,8,1,50
systematic,1,2,4,8,2,10
systematic,1,2,4,8,2,20
systematic,1,2,4,8,2,50
systematic,1,2,8,2,1,10
systematic,1,2,8,2,1,20
systematic,1,2,8,2,1,50
systematic,1,2,8,2,2,10
systematic,1,2,8,2,2,20
systematic,1,2,8,2,2,50
systematic,1,2,8,4,1,10
systematic,1,2,8,4,1,20
systematic,1,2,8,4,1,50
systematic,1,2,8,4,2,10
systematic,1,2,8,4,2,20
systematic,1,2,8,4,2,50
systematic,1,2,8,8,1,10
systematic,1,2,8,8,1,20
systematic,1,2,8,8,1,50
systematic,1,2,8,8,2,10
systematic,1,2,8,8,2,20
systematic,1,2,8,8,2,50
systematic,1,4,2,2,1,10
systematic,1,4,2,2,1,20
systematic,1,4,2,2,1,50
systematic,1,4,2,2,2,10
systematic,1,4,2,2,2,20
systematic,1,4,2,2,2,50
systematic,1,4,2,4,1,10
systematic,1,4,2,4,1,20
systematic,1,4,2,4,1,50
systematic,1,4,2,4,2,10
systematic,1,4,2,4,2,20
systematic,1,4,2,4,2,50
systematic,1,4,2,8,1,10
systematic,1,4,2,8,1,20
systematic,1,4,2,8,1,50
systematic,1,4,2,8,2,10
systematic,1,4,2,8,2,20
systematic,1,4,2,8,2,50
systematic,1,4,4,2,1,10
systematic,1,4,4,2,1,20
systematic,1,4,4,2,1,50
systematic,1,4,4,2,2,10
systematic,1,4,4,2,2,20
systematic,1,4,4,2,2,50
systematic,1,4,4,4,1,10
systematic,1,4,4,4,1,20
systematic,1,4,4,4,1,50
systematic,1,4,4,4,2,10
systematic,1,4,4,4,2,20
systematic,1,4,4,4,2,50
systematic,1,4,4,8,1,10
systematic,1,4,4,8,1,20
systematic,1,4,4,8,1,50
systematic,1,4,4,8,2,10
systematic,1,4,4,8,2,20
systematic,1,4,4,8,2,50
systematic,1,4,8,2,1,10
systematic,1,4,8,2,1,20
systematic,1,4,8,2,1,50
systematic,1,4,8,2,2,10
systematic,1,4,8,2,2,20
systematic,1,4,8,2,2,50
systematic,1,4,8,4,1,10
systematic,1,4,8,4,1,20
systematic,1,4,8,4,1,50
systematic,1,4,8,4,2,10
systematic,1,4,8,4,2,20
systematic,1,4,8,4,2,50
systematic,1,4,8,8,1,10
systematic,1,4,8,8,1,20
systematic,1,4,8,8,1,50
systematic,1,4,8,8,2,10
systematic,1,4,8,8,2,20
systematic,1,4,8,8,2,50
systematic,1,8,2,2,1,10
systematic,1,8,2,2,1,20
systematic,1,8,2,2,1,50
systematic,1,8,2,2,2,10
systematic,1,8,2,2,2,20
systematic,1,8,2,2,2,50
systematic,1,8,2,4,1,10
systematic,1,8,2,4,1,20
systematic,1,8,2,4,1,50
systematic,1,8,2,4,2,10
systematic,1,8,2,4,2,20
systematic,1,8,2,4,2,50
systematic,1,8,2,8,1,10
systematic,1,8,2,8,1,20
systematic,1,8,2,8,1,50
systematic,1,8,2,8,2,10
systematic,1,8,2,8,2,20
systematic,1,8,2,8,2,50
systematic,1,8,4,2,1,10
systematic,1,8,4,2,1,20
systematic,1,8,4,2,1,50
systematic,1,8,4,2,2,10
systematic,1,8,4,2,2,20
systematic,1,8,4,2,2,50
systematic,1,8,4,4,1,10
systematic,1,8,4,4,1,20
systematic,1,8,4,4,1,50
systematic,1,8,4,4,2,10
systematic,1,8,4,4,2,20
systematic,1,8,4,4,2,50
systematic,1,8,4,8,1,10
systematic,1,8,4,8,1,20
systematic,1,8,4,8,1,50
systematic,1,8,4,8,2,10
systematic,1,8,4,8,2,20
systematic,1,8,4,8,2,50
systematic,1,8,8,2,1,10
systematic,1,8,8,2,1,20
systematic,1,8,8,2,1,50
systematic,1,8,8,2,2,10
systematic,1,8,8,2,2,20
systematic,1,8,8,2,2,50
systematic,1,8,8,4,1,10
systematic,1,8,8,4,1,20
systematic,1,8,8,4,1,50
systematic,1,8,8,4,2,10
systematic,1,8,8,4,2,20
systematic,1,8,8,4,2,50
systematic,1,8,8,8,1,10
systematic,1,8,8,8,1,20
systematic,1,8,8,8,1,50
systematic,1,8,8,8,2,10
systematic,1,8,8,8,2,20
systematic,1,8,8,8,2,50
systematic,2,2,2,2,1,10
systematic,2,2,2,2,1,20
systematic,2,2,2,2,1,50
systematic,2,2,2,2,2,10
systematic,2,2,2,2,2,20
systematic,2,2,2,2,2,50
systematic,2,2,2,4,1,10
systematic,2,2,2,4,1,20
systematic,2,2,2,4,1,50
systematic,2,2,2,4,2,10
systematic,2,2,2,4,2,20
systematic,2,2,2,4,2,50
systematic,2,2,2,8,1,10
systematic,2,2,2,8,1,20
systematic,2,2,2,8,1,50
systematic,2,2,2,8,2,10
systematic,2,2,2,8,2,20
systematic,2,2,2,8,2,50
systematic,2,2,4,2,1,10
systematic,2,2,4,2,1,20
systematic,2,2,4,2,1,50
systematic,2,2,4,2,2,10
systematic,2,2,4,2,2,20
systematic,2,2,4,2,2,50
systematic,2,2,4,4,1,10
systematic,2,2,4,4,1,20
systematic,2,2,4,4,1,50
systematic,2,2,4,4,2,10
systematic,2,2,4,4,2,20
systematic,2,2,4,4,2,50
systematic,2,2,4,8,1,10
systematic,2,2,4,8,1,20
systematic,2,2,4,8,1,50
systematic,2,2,4,8,2,10
systematic,2,2,4,8,2,20
systematic,2,2,4,8,2,50
systematic,2,2,8,2,1,10
systematic,2,2,8,2,1,20
systematic,2,2,8,2,1,50
systematic,2,2,8,2,2,10
systematic,2,2,8,2,2,20
systematic,2,2,8,2,2,50
systematic,2,2,8,4,1,10
systematic,2,2,8,4,1,20
systematic,2,2,8,4,1,50
systematic,2,2,8,4,2,10
systematic,2,2,8,4,2,20
systematic,2,2,8,4,2,50
systematic,2,2,8,8,1,10
systematic,2,2,8,8,1,20
systematic,2,2,8,8,1,50
systematic,2,2,8,8,2,10
systematic,2,2,8,8,2,20
systematic,2,2,8,8,2,50
systematic,2,4,2,2,1,10
systematic,2,4,2,2,1,20
systematic,2,4,2,2,1,50
systematic,2,4,2,2,2,10
systematic,2,4,2,2,2,20
systematic,2,4,2,2,2,50
systematic,2,4,2,4,1,10
systematic,2,4,2,4,1,20
systematic,2,4,2,4,1,50
systematic,2,4,2,4,2,10
systematic,2,4,2,4,2,20
systematic,2,4,2,4,2,50
systematic,2,4,2,8,1,10
systematic,2,4,2,8,1,20
systematic,2,4,2,8,1,50
systematic,2,4,2,8,2,10
systematic,2,4,2,8,2,20
systematic,2,4,2,8,2,50
systematic,2,4,4,2,1,10
systematic,2,4,4,2,1,20
systematic,2,4,4,2,1,50
systematic,2,4,4,2,2,10
systematic,2,4,4,2,2,20
systematic,2,4,4,2,2,50
systematic,2,4,4,4,1,10
systematic,2,4,4,4,1,20
systematic,2,4,4,4,1,50
systematic,2,4,4,4,2,10
systematic,2,4,4,4,2,20
systematic,2,4,4,4,2,50
systematic,2,4,4,8,1,10
systematic,2,4,4,8,1,20
systematic,2,4,4,8,1,50
systematic,2,4,4,8,2,10
systematic,2,4,4,8,2,20
systematic,2,4,4,8,2,50
systematic,2,4,8,2,1,10
systematic,2,4,8,2,1,20
systematic,2,4,8,2,1,50
systematic,2,4,8,2,2,10
systematic,2,4,8,2,2,20
systematic,2,4,8,2,2,50
systematic,2,4,8,4,1,10
systematic,2,4,8,4,1,20
systematic,2,4,8,4,1,50
systematic,2,4,8,4,2,10
systematic,2,4,8,4,2,20
systematic,2,4,8,4,2,50
systematic,2,4,8,8,1,10
systematic,2,4,8,8,1,20
systematic,2,4,8,8,1,50
systematic,2,4,8,8,2,10
systematic,2,4,8,8,2,20
systematic,2,4,8,8,2,50
systematic,2,8,2,2,1,10
systematic,2,8,2,2,1,20
systematic,2,8,2,2,1,50
systematic,2,8,2,2,2,10
systematic,2,8,2,2,2,20
systematic,2,8,2,2,2,50
systematic,2,8,2,4,1,10
systematic,2,8,2,4,1,20
systematic,2,8,2,4,1,50
systematic,2,8,2,4,2,10
systematic,2,8,2,4,2,20
systematic,2,8,2,4,2,50
systematic,2,8,2,8,1,10
systematic,2,8,2,8,1,20
systematic,2,8,2,8,1,50
systematic,2,8,2,8,2,10
systematic,2,8,2,8,2,20
systematic,2,8,2,8,2,50
systematic,2,8,4,2,1,10
systematic,2,8,4,2,1,20
systematic,2,8,4,2,1,50
systematic,2,8,4,2,2,10
systematic,2,8,4,2,2,20
systematic,2,8,4,2,2,50
systematic,2,8,4,4,1,10
systematic,2,8,4,4,1,20
systematic,2,8,4,4,1,50
systematic,2,8,4,4,2,10
systematic,2,8,4,4,2,20
systematic,2,8,4,4,2,50
systematic,2,8,4,8,1,10
systematic,2,8,4,8,1,20
systematic,2,8,4,8,1,50
systematic,2,8,4,8,2,10
systematic,2,8,4,8,2,20
systematic,2,8,4,8,2,50
systematic,2,8,8,2,1,10
systematic,2,8,8,2,1,20
systematic,2,8,8,2,1,50
systematic,2,8,8,2,2,10
systematic,2,8,8,2,2,20
systematic,2,8,8,2,2,50
systematic,2,8,8,4,1,10
systematic,2,8,8,4,1,20
systematic,2,8,8,4,1,50
systematic,2,8,8,4,2,10
systematic,2,8,8,4,2,20
systematic,2,8,8,4,2,50
systematic,2,8,8,8,1,10
systematic,2,8,8,8,1,20
systematic,2,8,8,8,1,50
systematic,2,8,8,8,2,10
systematic,2,8,8,8,2,20
systematic,2,8,8,8,2,50
systematic,3,2,2,2,1,10
systematic,3,2,2,2,1,20
systematic,3,2,2,2,1,50
