method,fold,acc
mmit,1,97.19298246
mmit,2,97.71929825
mmit,3,95.96491228
mmit,4,97.01754386
mmit,5,98.06678383
mmit,6,97.01230228
linear,1,97.19298246
linear,2,97.01754386
linear,3,95.96491228
linear,4,96.84210526
linear,5,97.18804921
linear,6,96.66080844
AFT_XGboost,1,97.89473684
AFT_XGboost,2,98.42105263
AFT_XGboost,3,96.66666667
AFT_XGboost,4,96.84210526
AFT_XGboost,5,97.71528998
AFT_XGboost,6,96.66080844
gru,1,98.94736842
gru,2,97.71929825
gru,3,98.42105263
gru,4,98.07017544
gru,5,98.24253076
gru,6,97.71528998
mlp,1,98.59649123
mlp,2,98.42105263
mlp,3,96.66666667
mlp,4,98.24561404
mlp,5,98.41827768
mlp,6,97.18804921
